"Timestamp","Should the mods be more active?","Should discussion & tutorial threads be a more regular thing?","Should posters be required to post their customisation information?","Should OC posts like ""I made an gtk-them/icon-theme/cool-script"" be encouraged?","Should we hold more regular contests?","Should hosting Imgur be a requirement?","Should ""fapping"" (not including ""porn"" or ""sex[y]"") be dropped from the sub?"
"2014/05/24 2:51:48 am CET","Indifferent","Yes","Yes, but with a predefined template","No","No","No, but don't allow all hosts","No"
"2014/05/24 3:58:41 am CET","No","Indifferent","No","Yes","Indifferent","No","Indifferent"
"2014/05/24 12:30:31 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/24 2:23:31 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/24 2:30:31 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No","Yes"
"2014/05/24 3:13:05 pm CET","Yes","Yes","No","Indifferent","Yes","Yes","Yes"
"2014/05/24 4:06:55 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","Indifferent"
"2014/05/24 5:00:59 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/24 5:09:58 pm CET","Yes","No","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/24 5:18:37 pm CET","Yes","Yes","No","No","Yes","No","No"
"2014/05/24 6:05:31 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/24 10:28:12 pm CET","No","Yes","Yes, but however they want","No","Yes","No, but don't allow all hosts","No"
"2014/05/25 12:43:11 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Indifferent"
"2014/05/25 5:23:15 am CET","No","Yes","Yes, but with a predefined template","Yes","No","No, but don't allow all hosts","Yes"
"2014/05/25 10:13:43 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Yes","No"
"2014/05/25 2:39:37 pm CET","Yes","Yes","Yes, but with a predefined template","No","Yes","Yes","Yes"
"2014/05/25 5:04:06 pm CET","Indifferent","Yes","Yes, but with a predefined template","No","No","Yes","No"
"2014/05/25 5:05:11 pm CET","Indifferent","Yes","No","Yes","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/26 12:34:01 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/26 12:45:21 am CET","Indifferent","No","Yes, but however they want","Yes","Yes","Yes","Yes"
"2014/05/26 1:17:55 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Indifferent"
"2014/05/26 11:37:14 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Yes","Yes"
"2014/05/26 1:18:30 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Yes"
"2014/05/26 1:33:42 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/26 5:37:26 pm CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","Yes","Indifferent"
"2014/05/26 6:06:22 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/26 6:57:45 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","Yes","Yes"
"2014/05/27 12:07:04 am CET","Yes","Yes","Indifferent","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/27 5:49:59 am CET","Indifferent","Yes","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","No"
"2014/05/27 8:28:03 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","Yes","Indifferent"
"2014/05/27 9:03:19 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/27 3:43:45 pm CET","Indifferent","Yes","No","Indifferent","No","Yes","Indifferent"
"2014/05/27 7:55:41 pm CET","No","Yes","Yes, but however they want","Yes","No","No","Yes"
"2014/05/27 8:13:04 pm CET","Indifferent","Indifferent","Yes, but with a predefined template","No","No","Yes","Yes"
"2014/05/28 5:48:14 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Indifferent","Indifferent"
"2014/05/28 12:21:58 pm CET","Yes","Yes","Yes, but however they want","Yes","Indifferent","Indifferent","No"
"2014/05/28 1:28:21 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/28 2:37:14 pm CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/28 9:11:55 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/29 6:29:54 am CET","No","Yes","Yes, but however they want","No","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/29 7:33:50 am CET","Indifferent","Indifferent","Yes, but with a predefined template","Indifferent","Yes","Indifferent","Yes"
"2014/05/29 9:04:54 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/29 11:28:05 am CET","Indifferent","Yes","Indifferent","Yes","Yes","Indifferent","Yes"
"2014/05/29 11:38:55 am CET","Yes","Yes","Yes, but with a predefined template","No","Yes","No, but don't allow all hosts","No"
"2014/05/29 1:26:07 pm CET","Yes","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/29 4:58:21 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Yes"
